,Rank,Released,Movie,DomesticBox Office,InternationalBox Office,WorldwideBox Office
817,818,2002,The Scorpion King,"$90,580,000","$75,310,634","$165,890,634"
818,819,2000,"Me, Myself & Irene","$90,570,999","$58,700,000","$149,270,999"
819,820,2008,High School Musical 3: Senior Year,"$90,559,416","$183,833,464","$274,392,880"
820,821,2009,Madea Goes To Jail,"$90,508,336",$0,"$90,508,336"
821,822,1983,Flashdance,"$90,463,574","$111,000,000","$201,463,574"
822,823,1996,Space Jam,"$90,463,534","$159,736,466","$250,200,000"
823,824,2000,Space Cowboys,"$90,454,043","$38,420,000","$128,874,043"
824,825,2015,Get Hard,"$90,411,453","$16,100,000","$106,511,453"
825,826,1983,Trading Places,"$90,400,000",$0,"$90,400,000"
826,827,2010,Red,"$90,380,162","$106,059,531","$196,439,693"
827,828,2013,Disney Planes,"$90,282,580","$147,776,989","$238,059,569"
828,829,2003,Mystic River,"$90,135,191","$66,686,829","$156,822,020"
829,830,2015,Terminator: Genisys,"$89,760,956","$342,389,938","$432,150,894"
830,831,2005,Flightplan,"$89,706,988","$124,685,916","$214,392,904"
831,832,1991,Father of the Bride,"$89,325,780",$0,"$89,325,780"
832,833,2013,The Lone Ranger,"$89,302,115","$170,700,000","$260,002,115"
833,834,2000,The Emperor's New Groove,"$89,296,573","$80,000,000","$169,296,573"
834,835,2015,Taken 3,"$89,256,424","$238,400,000","$327,656,424"
835,836,2016,Don't Breathe,"$89,217,875","$69,755,810","$158,973,685"
836,837,2000,Scream 3,"$89,138,076","$72,700,000","$161,838,076"
837,838,2013,Oblivion,"$89,107,235","$198,809,398","$287,916,633"
838,839,1974,The Trial of Billy Jack,"$89,000,000",$0,"$89,000,000"
839,840,2009,The Ugly Truth,"$88,915,214","$116,383,693","$205,298,907"
840,841,2010,Percy Jackson & the Olympians: The Lightning Thief,"$88,768,303","$134,282,571","$223,050,874"
841,842,2006,Failure to Launch,"$88,715,192","$39,687,709","$128,402,901"
842,843,2006,Inside Man,"$88,634,237","$97,164,028","$185,798,265"
843,844,2011,The Muppets,"$88,625,922","$72,346,000","$160,971,922"
844,845,1995,Waterworld,"$88,246,220","$176,000,000","$264,246,220"
845,846,2004,Starsky & Hutch,"$88,200,225","$82,000,000","$170,200,225"
846,847,2004,Along Came Polly,"$88,073,507","$84,970,903","$173,044,410"
847,848,1990,Back to the Future Part III,"$88,055,283","$156,033,371","$244,088,654"
848,849,1992,The Hand That Rocks the Cradle,"$88,036,683",$0,"$88,036,683"
849,850,1999,Entrapment,"$87,707,396","$123,992,604","$211,700,000"
850,851,1953,Peter Pan,"$87,400,000",$0,"$87,400,000"
851,852,2008,Pineapple Express,"$87,341,380","$15,062,639","$102,404,019"
852,853,2016,Miss Peregrine's Home for Peculiar Children,"$87,242,834","$208,744,042","$295,986,876"
853,854,1998,Everest,"$87,178,599","$40,811,529","$127,990,128"
854,855,2015,Sisters,"$87,044,645","$18,986,015","$106,030,660"
855,856,2005,Saw II,"$87,025,093","$65,900,000","$152,925,093"
856,857,1991,The Naked Gun 2½: The Smell of Fear,"$86,930,411",$0,"$86,930,411"
857,858,2012,The Campaign,"$86,907,746","$18,000,000","$104,907,746"
858,859,1976,To Fly!,"$86,600,000","$34,100,000","$120,700,000"
859,860,1979,The Amityville Horror,"$86,432,520",$0,"$86,432,520"
860,861,1990,Presumed Innocent,"$86,303,188","$134,996,812","$221,300,000"
861,862,1974,Young Frankenstein,"$86,300,000",$0,"$86,300,000"
862,863,2016,The Accountant,"$86,260,045","$66,702,038","$152,962,083"
863,864,2014,Dumb and Dumber To,"$86,208,010","$70,345,582","$156,553,592"
864,865,2017,The Emoji Movie,"$86,089,513","$130,479,466","$216,568,979"
865,866,2004,Mean Girls,"$86,047,227","$44,905,799","$130,953,026"
866,867,2014,Annie,"$85,911,262","$53,918,363","$139,829,625"
867,868,2015,Alvin and the Chipmunks: The Road Chip,"$85,886,987","$163,630,969","$249,517,956"
868,869,2002,Spy Kids 2: The Island of Lost Dreams,"$85,846,296","$33,875,000","$119,721,296"
869,870,2014,Fury,"$85,817,906","$124,497,775","$210,315,681"
870,871,1999,Pokemon: The First Movie,"$85,744,662","$77,900,000","$163,644,662"
871,872,2019,Alita: Battle Angel,"$85,657,794","$317,265,826","$402,923,620"
872,873,2011,Real Steel,"$85,463,309","$178,417,032","$263,880,341"
873,874,2004,SpongeBob SquarePants: The Movie,"$85,416,609","$56,634,646","$142,051,255"
874,875,1956,The Ten Commandments,"$85,400,591","$33,925","$85,434,516"
875,876,2017,Power Rangers,"$85,364,450","$57,167,102","$142,531,552"
876,877,2003,Brother Bear,"$85,336,277","$165,061,521","$250,397,798"
877,878,1981,Stripes,"$85,300,000",$0,"$85,300,000"
878,879,1979,Rocky 2,"$85,182,160","$115,000,000","$200,182,160"
879,880,1986,Aliens,"$85,160,248","$98,156,207","$183,316,455"
880,881,2006,Open Season,"$85,105,259","$106,826,899","$191,932,158"
881,882,2018,Green Book,"$85,069,526","$232,377,773","$317,447,299"
882,883,2012,The Expendables 2,"$85,028,192","$226,951,064","$311,979,256"
883,884,1950,Cinderella,"$85,000,000","$178,591,415","$263,591,415"
884,885,1995,Dangerous Minds,"$84,919,401","$94,000,000","$178,919,401"
885,886,2010,Paranormal Activity 2,"$84,752,907","$92,759,125","$177,512,032"
886,887,2014,Tammy,"$84,525,432","$11,882,223","$96,407,655"
887,888,2006,The Santa Clause 3: The Escape Clause,"$84,500,122","$23,000,000","$107,500,122"
888,889,2017,Ferdinand,"$84,410,380","$205,448,783","$289,859,163"
889,890,2011,"Crazy, Stupid, Love","$84,351,197","$62,791,131","$147,142,328"
890,891,1940,Pinocchio,"$84,300,000",$0,"$84,300,000"
891,892,2014,Annabelle,"$84,273,813","$172,589,107","$256,862,920"
892,893,2004,Scooby-Doo 2: Monsters Unleashed,"$84,185,387","$97,000,000","$181,185,387"
893,894,2004,Anchorman: The Legend of Ron Burgundy,"$84,136,909","$5,339,356","$89,476,265"
894,895,2001,Atlantis: The Lost Empire,"$84,052,762","$101,996,258","$186,049,020"
895,896,1993,Cliffhanger,"$84,049,211","$170,950,789","$255,000,000"
896,897,2014,The Other Woman,"$83,911,193","$111,200,000","$195,111,193"
897,898,1998,The X Files: Fight the Future,"$83,898,313","$105,278,110","$189,176,423"
898,899,2009,Up in the Air,"$83,823,381","$83,019,358","$166,842,739"
899,900,1989,Steel Magnolias,"$83,759,091","$11,392,847","$95,151,938"
900,901,1977,The Goodbye Girl,"$83,700,000",$0,"$83,700,000"
901,902,1989,The War of the Roses,"$83,699,711",$0,"$83,699,711"
902,903,2012,Wrath of the Titans,"$83,670,083","$221,600,000","$305,270,083"
903,904,2013,Insidious Chapter 2,"$83,586,447","$78,335,068","$161,921,515"
904,905,1992,Under Siege,"$83,563,139","$73,000,000","$156,563,139"
905,906,2011,Battle: Los Angeles,"$83,552,429","$129,911,547","$213,463,976"
906,907,2011,Immortals,"$83,504,017","$128,058,418","$211,562,435"
907,908,2018,I Can Only Imagine,"$83,482,352","$1,981,338","$85,463,690"
908,909,1980,Airplane!,"$83,453,539",$0,"$83,453,539"
909,910,2014,Penguins of Madagascar,"$83,350,911","$283,591,620","$366,942,531"
910,911,1940,Fantasia,"$83,320,000",$0,"$83,320,000"
911,912,2013,Saving Mr. Banks,"$83,299,761","$31,662,764","$114,962,525"
912,913,1992,Patriot Games,"$83,287,363","$94,812,637","$178,100,000"
913,914,2018,Smallfoot,"$83,240,103","$130,453,506","$213,693,609"
914,915,2008,Valkyrie,"$83,107,829","$120,824,345","$203,932,174"
915,916,2005,Brokeback Mountain,"$83,043,761","$93,937,102","$176,980,863"
916,917,2013,Turbo,"$83,028,130","$203,868,448","$286,896,578"
917,918,1994,Disclosure,"$83,015,089","$129,184,911","$212,200,000"
918,919,2006,Charlotte's Web,"$82,985,708","$61,000,000","$143,985,708"
919,920,2005,Monster-in-Law,"$82,931,301","$73,000,000","$155,931,301"
920,921,2005,Are We There Yet?,"$82,674,398","$15,440,073","$98,114,471"
921,922,1990,Days of Thunder,"$82,670,733","$75,000,000","$157,670,733"
922,923,2011,The Descendants,"$82,624,961","$92,882,839","$175,507,800"
923,924,2003,Freddy vs. Jason,"$82,622,655","$31,953,748","$114,576,403"
924,925,1995,Mr. Holland's Opus,"$82,582,604","$23,700,000","$106,282,604"
925,926,2005,Cheaper by the Dozen 2,"$82,571,173","$52,444,157","$135,015,330"
926,927,1992,Bram Stoker's Dracula,"$82,522,790","$133,339,902","$215,862,692"
927,928,2014,Let's Be Cops,"$82,390,774","$54,500,000","$136,890,774"
928,929,2007,Beowulf,"$82,280,579","$112,800,000","$195,080,579"
929,930,1979,Star Trek: The Motion Picture,"$82,258,456","$56,741,544","$139,000,000"
930,931,2007,Bridge to Terabithia,"$82,234,139","$55,750,649","$137,984,788"
931,932,2006,The Pink Panther,"$82,226,474","$76,700,000","$158,926,474"
932,933,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,"$82,051,601","$163,276,773","$245,328,374"
933,934,2017,The Post,"$81,903,458","$97,845,422","$179,748,880"
934,935,2015,Maze Runner: The Scorch Trials,"$81,697,192","$228,868,970","$310,566,162"
935,936,2002,Blade 2,"$81,676,888","$72,661,713","$154,338,601"
936,937,2006,Eight Below,"$81,612,565","$38,843,429","$120,455,994"
937,938,1970,M*A*S*H,"$81,600,000",$0,"$81,600,000"
938,939,2010,Unstoppable,"$81,562,942","$84,157,979","$165,720,921"
939,940,1999,Payback,"$81,526,121","$80,100,000","$161,626,121"
940,941,2015,Ted 2,"$81,476,385","$135,737,758","$217,214,143"
941,942,1981,Arthur,"$81,464,486",$0,"$81,464,486"
942,943,1988,Die Hard,"$81,350,242","$57,759,104","$139,109,346"
943,944,1999,The Talented Mr. Ripley,"$81,292,135","$47,500,000","$128,792,135"
944,945,2003,School of Rock,"$81,261,177","$50,683,495","$131,944,672"
945,946,1991,Fried Green Tomatoes,"$81,204,830",$0,"$81,204,830"
946,947,1984,Police Academy,"$81,198,894",$0,"$81,198,894"
947,948,2008,21,"$81,159,365","$78,687,064","$159,846,429"
948,949,2002,Snow Dogs,"$81,150,692","$35,747,336","$116,898,028"
949,950,1995,While You Were Sleeping,"$81,057,016","$101,000,000","$182,057,016"
950,951,1995,Congo,"$81,022,333","$71,000,000","$152,022,333"
951,952,2004,The Notebook,"$81,001,787","$35,023,236","$116,025,023"
952,953,2001,Jimmy Neutron: Boy Genius,"$80,936,232","$22,056,304","$102,992,536"
953,954,1979,Alien,"$80,930,630","$122,700,000","$203,630,630"
954,955,2007,Disturbia,"$80,818,974","$37,718,653","$118,537,627"
955,956,1987,Moonstruck,"$80,640,528",$0,"$80,640,528"
956,957,2010,Eat Pray Love,"$80,574,010","$126,024,779","$206,598,789"
957,958,2003,The Texas Chainsaw Massacre,"$80,571,655","$27,395,664","$107,967,319"
958,959,1971,Fiddler on the Roof,"$80,500,000",$0,"$80,500,000"
959,960,2011,Zookeeper,"$80,360,866","$90,444,659","$170,805,525"
960,961,2004,AVP: Alien Vs. Predator,"$80,281,096","$92,262,423","$172,543,519"
961,962,2008,What Happens in Vegas...,"$80,277,646","$138,258,062","$218,535,708"
962,963,2005,The Dukes of Hazzard,"$80,270,227","$29,578,234","$109,848,461"
963,964,1998,The Wedding Singer,"$80,245,725","$43,100,000","$123,345,725"
964,965,2006,Saw III,"$80,238,724","$83,638,091","$163,876,815"
965,966,2006,Nacho Libre,"$80,197,993","$19,098,469","$99,296,462"
966,967,2008,Jumper,"$80,172,128","$142,468,684","$222,640,812"
967,968,2017,The Mummy,"$80,101,125","$329,852,780","$409,953,905"
968,969,2012,Jack Reacher,"$80,070,736","$137,300,000","$217,370,736"
969,970,2015,Goosebumps,"$80,069,458","$78,835,866","$158,905,324"
970,971,2008,Cloverfield,"$80,048,433","$91,253,793","$171,302,226"
971,972,1990,Another 48 Hrs.,"$80,047,413","$72,700,000","$152,747,413"
972,973,2010,Dear John,"$80,014,842","$62,018,667","$142,033,509"
973,974,1984,Footloose,"$80,000,000",$0,"$80,000,000"
974,975,2009,Knowing,"$79,957,634","$106,492,683","$186,450,317"
975,976,2011,War Horse,"$79,883,359","$76,932,170","$156,815,529"
976,977,1986,The Golden Child,"$79,817,937",$0,"$79,817,937"
977,978,2012,Dark Shadows,"$79,727,149","$158,475,519","$238,202,668"
978,979,1974,Earthquake,"$79,700,000",$0,"$79,700,000"
979,980,2009,Hannah Montana the Movie,"$79,576,189","$89,597,017","$169,173,206"
980,981,2008,The Day the Earth Stood Still,"$79,366,978","$158,003,372","$237,370,350"
981,982,2011,Limitless,"$79,249,455","$76,315,464","$155,564,919"
982,983,1985,Out of Africa,"$79,096,868","$179,113,992","$258,210,860"
983,984,1991,Cape Fear,"$79,091,969","$103,200,000","$182,291,969"
984,985,2016,The Purge: Election Year,"$79,042,440","$39,472,287","$118,514,727"
985,986,1982,Star Trek II: The Wrath of Khan,"$78,912,963","$16,887,037","$95,800,000"
986,987,1979,Apocalypse Now,"$78,800,000","$2,450,485","$81,250,485"
987,988,2015,Pixels,"$78,765,986","$165,275,818","$244,041,804"
988,989,1998,City of Angels,"$78,750,909","$120,000,000","$198,750,909"
989,990,1996,The English Patient,"$78,716,374","$152,993,634","$231,710,008"
990,991,1991,Teenage Mutant Ninja Turtles II: The Secret of …,"$78,656,813",$0,"$78,656,813"
991,992,2001,Artificial Intelligence: AI,"$78,616,689","$157,283,311","$235,900,000"
992,993,1988,Cocktail,"$78,222,753",$0,"$78,222,753"
993,994,2002,We Were Soldiers,"$78,120,196","$36,538,066","$114,658,262"
994,995,2011,Tower Heist,"$78,046,570","$72,376,376","$150,422,946"
995,996,1988,The Naked Gun: From the Files of Police Squad!,"$78,041,829",$0,"$78,041,829"
996,997,2014,The Monuments Men,"$78,031,620","$80,671,128","$158,702,748"
997,998,2004,Man on Fire,"$77,906,816","$53,061,763","$130,968,579"
998,999,1991,Backdraft,"$77,868,585","$74,500,000","$152,368,585"
999,1000,2002,Gangs of New York,"$77,730,500","$105,394,121","$183,124,621"
1000,1001,1993,Free Willy,"$77,698,625","$76,000,000","$153,698,625"
1001,1002,2011,The Adventures of Tintin,"$77,591,831","$296,402,120","$373,993,951"
1002,1003,2005,La marche de l'empereur,"$77,437,223","$55,839,136","$133,276,359"
1003,1004,2018,Night School,"$77,339,130","$25,669,662","$103,008,792"
1004,1005,1993,Philadelphia,"$77,324,422","$124,000,000","$201,324,422"
1005,1006,2012,Parental Guidance,"$77,267,296","$43,565,087","$120,832,383"
1006,1007,2009,Where the Wild Things Are,"$77,233,467","$21,890,189","$99,123,656"
1007,1008,2010,The A-Team,"$77,222,099","$100,019,072","$177,241,171"
1008,1009,2000,U-571,"$77,086,030","$50,544,000","$127,630,030"
1009,1010,2004,The Terminal,"$77,073,959","$141,600,000","$218,673,959"
1010,1011,2016,Alice Through the Looking Glass,"$77,042,381","$199,885,731","$276,928,112"
1011,1012,2008,27 Dresses,"$76,808,654","$83,439,151","$160,247,805"
1012,1013,1979,The Muppet Movie,"$76,657,000",$0,"$76,657,000"
1013,1014,1995,Father of the Bride Part II,"$76,578,911",$0,"$76,578,911"
1014,1015,2000,Rugrats in Paris,"$76,501,438","$26,783,375","$103,284,813"
1015,1016,1984,Star Trek III: The Search for Spock,"$76,471,046","$10,528,954","$87,000,000"
1016,1017,2010,Knight and Day,"$76,423,035","$182,328,335","$258,751,370"
1017,1018,1987,The Untouchables,"$76,270,454",$0,"$76,270,454"
1018,1019,2001,Training Day,"$76,261,036","$28,244,326","$104,505,362"
1019,1020,1985,Cocoon,"$76,257,348",$0,"$76,257,348"
1020,1021,1992,White Men Can't Jump,"$76,253,806","$14,500,000","$90,753,806"
1021,1022,2016,Pete's Dragon,"$76,233,151","$61,535,824","$137,768,975"
1022,1023,2015,Paddington,"$76,223,578","$182,565,519","$258,789,097"
1023,1024,1997,Conspiracy Theory,"$76,118,990","$66,664,728","$142,783,718"
1024,1025,2008,Hellboy II: The Golden Army,"$75,986,503","$84,401,560","$160,388,063"
1025,1026,2005,Constantine,"$75,976,178","$145,618,733","$221,594,911"
1026,1027,2005,The Ring Two,"$75,941,727","$86,000,000","$161,941,727"
1027,1028,1982,48 Hrs.,"$75,936,265",$0,"$75,936,265"
1028,1029,2003,The Haunted Mansion,"$75,817,994","$79,932,634","$155,750,628"
1029,1030,2006,"You, Me and Dupree","$75,802,010","$54,600,000","$130,402,010"
1030,1031,2002,Barbershop,"$75,781,642","$1,281,819","$77,063,461"
1031,1032,2015,The Intern,"$75,764,672","$121,351,038","$197,115,710"
1032,1033,2000,The Family Man,"$75,764,085","$48,951,778","$124,715,863"
1033,1034,1994,Star Trek: Generations,"$75,671,262","$44,328,738","$120,000,000"
1034,1035,2011,Contagion,"$75,658,097","$61,893,497","$137,551,594"
1035,1036,2011,We Bought a Zoo,"$75,624,550","$43,104,523","$118,729,073"
1036,1037,2013,2 Guns,"$75,612,460","$56,880,555","$132,493,015"
1037,1038,2011,Moneyball,"$75,605,492","$35,695,343","$111,300,835"
1038,1039,2002,The Rookie,"$75,600,072","$4,891,444","$80,491,516"
1039,1040,2009,Zombieland,"$75,590,286","$26,646,310","$102,236,596"
1040,1041,1995,Braveheart,"$75,545,647","$133,499,597","$209,045,244"
1041,1042,1999,Any Given Sunday,"$75,530,832","$24,700,000","$100,230,832"
1042,1043,1992,The Last of the Mohicans,"$75,505,856",$0,"$75,505,856"
1043,1044,2017,The Hitman's Bodyguard,"$75,468,583","$97,310,084","$172,778,667"
1044,1045,2016,The Girl on the Train,"$75,395,035","$98,883,179","$174,278,214"
1045,1046,1998,The Horse Whisperer,"$75,383,563","$111,500,000","$186,883,563"
1046,1047,2004,Garfield: The Movie,"$75,367,693","$132,726,857","$208,094,550"
1047,1048,2004,Ray,"$75,305,995","$49,517,099","$124,823,094"
1048,1049,2009,Coraline,"$75,286,229","$50,750,828","$126,037,057"
1049,1050,2003,Old School,"$75,155,000","$11,610,463","$86,765,463"
1050,1051,1984,Romancing the Stone,"$75,078,260","$40,000,000","$115,078,260"
1051,1052,2005,The Exorcism of Emily Rose,"$75,072,454","$69,456,624","$144,529,078"
1052,1053,1993,The Nightmare Before Christmas,"$75,069,160","$201,941","$75,271,101"
1053,1054,2006,Eragon,"$75,030,163","$174,457,952","$249,488,115"
1054,1055,1991,Star Trek VI: The Undiscovered Country,"$74,888,996","$22,011,004","$96,900,000"
1055,1056,1991,The Prince of Tides,"$74,787,599",$0,"$74,787,599"
1056,1057,1982,Poltergeist,"$74,706,019","$47,000,000","$121,706,019"
1057,1058,2004,Ladder 49,"$74,541,707","$27,791,141","$102,332,848"
1058,1059,2005,Four Brothers,"$74,494,381","$18,000,000","$92,494,381"
1059,1060,1983,WarGames,"$74,433,837",$0,"$74,433,837"
1060,1061,1998,"Six Days, Seven Nights","$74,339,294","$90,460,706","$164,800,000"
1061,1062,2007,No Country for Old Men,"$74,273,505","$89,762,248","$164,035,753"
1062,1063,2017,Alien: Covenant,"$74,262,031","$164,259,216","$238,521,247"
1063,1064,2011,Jack and Jill,"$74,158,157","$76,361,060","$150,519,217"
1064,1065,2005,Sin City,"$74,103,820","$84,424,098","$158,527,918"
1065,1066,2001,Along Came a Spider,"$74,058,698","$31,100,387","$105,159,085"
1066,1067,2017,Captain Underpants: The First Epic Movie,"$73,921,000","$52,656,874","$126,577,874"
1067,1068,2011,Hugo,"$73,864,507","$106,183,277","$180,047,784"
1068,1069,1988,Beetlejuice,"$73,839,613","$47,933","$73,887,546"
1069,1070,2004,Christmas with the Kranks,"$73,701,902","$22,767,285","$96,469,187"
1070,1071,1979,The Jerk,"$73,691,419",$0,"$73,691,419"
1071,1072,2006,Monster House,"$73,661,010","$67,606,360","$141,267,370"
1072,1073,1999,Deep Blue Sea,"$73,648,228","$91,400,000","$165,048,228"
1073,1074,2009,Law Abiding Citizen,"$73,357,727","$57,802,054","$131,159,781"
1074,1075,2002,Spirit: Stallion of the Cimarron,"$73,215,310","$33,300,000","$106,515,310"
1075,1076,2000,Hollow Man,"$73,209,340","$117,990,660","$191,200,000"
1076,1077,2016,Boo! A Madea Halloween,"$73,206,343",$0,"$73,206,343"
1077,1078,2009,Hotel for Dogs,"$73,178,547","$49,178,625","$122,357,172"
1078,1079,2013,White House Down,"$73,103,784","$132,336,603","$205,440,387"
1079,1080,2019,A Madea Family Funeral,"$73,080,657","$1,477,164","$74,557,821"
1080,1081,2012,John Carter,"$73,058,679","$209,719,421","$282,778,100"
1081,1082,2010,Dinner for Schmucks,"$73,026,337","$13,770,165","$86,796,502"
1082,1083,2011,Justin Bieber: Never Say Never,"$73,013,910","$26,020,215","$99,034,125"
1083,1084,1959,Ben-Hur,"$73,000,000",$0,"$73,000,000"
1084,1085,2006,Barnyard: The Original Party Animals,"$72,779,000","$45,804,844","$118,583,844"
1085,1086,2006,Jackass: Number Two,"$72,778,712","$12,500,000","$85,278,712"
1086,1087,2005,The Interpreter,"$72,708,161","$90,045,676","$162,753,837"
1087,1088,2014,Hercules,"$72,688,614","$170,700,000","$243,388,614"
1088,1089,2016,Storks,"$72,679,278","$110,674,153","$183,353,431"
1089,1090,2015,Bridge of Spies,"$72,313,754","$90,184,584","$162,498,338"
1090,1091,2011,Dolphin Tale,"$72,286,779","$23,781,945","$96,068,724"
1091,1092,2008,Vantage Point,"$72,266,306","$78,620,023","$150,886,329"
1092,1093,1997,I Know What You Did Last Summer,"$72,250,091","$53,000,000","$125,250,091"
1093,1094,1994,Ace Ventura: Pet Detective,"$72,217,396","$35,000,000","$107,217,396"
1094,1095,2017,A Bad Moms Christmas,"$72,110,659","$55,599,891","$127,710,550"
1095,1096,2009,Michael Jackson's This Is It,"$72,091,016","$180,000,000","$252,091,016"
1096,1097,2016,10 Cloverfield Lane,"$72,082,999","$36,203,423","$108,286,422"
1097,1098,1995,Get Shorty,"$72,021,008","$43,000,000","$115,021,008"
1098,1099,2009,"I Love You, Man","$72,013,010","$20,289,492","$92,302,502"
1099,1100,2007,Fred Claus,"$72,006,777","$25,830,861","$97,837,638"
